City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,east london,-33.0153,27.9116,23.430000000000007,87,100,7.66,ZA,1679264564
66,umm lajj,25.0213,37.2685,19.950000000000045,48,0,3.02,SA,1679264565
67,la sarre,48.8002,-79.1996,-7.159999999999968,80,100,3.63,CA,1679264566
68,lebu,-37.6167,-73.65,14.300000000000011,76,21,8.96,CL,1679264567
69,northam,51.0333,-4.2167,9.03000000000003,88,100,5.9,GB,1679264567
70,arlit,18.7369,7.3853,27.110000000000014,8,25,4.08,NE,1679264568
71,springbok,-29.6643,17.8865,11.110000000000014,90,26,1.83,ZA,1679264569
72,mahebourg,-20.4081,57.7,25.140000000000043,94,75,1.54,MU,1679264570
73,akcaabat,41.0212,39.5715,9.930000000000007,93,75,0.51,TR,1679264571
74,leningradskiy,69.3833,178.4167,-7.509999999999991,89,100,1.44,RU,1679264573
75,airai,-8.9266,125.4092,14.629999999999995,92,92,1.22,TL,1679264573
76,tosya,41.0155,34.0401,5.0400000000000205,92,100,2.46,TR,1679264574
77,horodyshche,49.2849,31.4451,3.7600000000000477,55,1,1.02,UA,1679264575
78,alice springs,-23.7,133.8833,22.75,56,8,0.0,AU,1679264575
79,pevek,69.7008,170.3133,-11.45999999999998,94,100,2.71,RU,1679264576
80,vostok,46.4856,135.8833,-4.919999999999959,88,10,2.74,RU,1679264577
81,hermanus,-34.4187,19.2345,18.24000000000001,75,0,1.52,ZA,1679264577
82,mar del plata,-38.0023,-57.5575,20.610000000000014,82,100,5.14,AR,1679264578
83,ozorkow,51.9634,19.2914,8.860000000000014,69,100,2.55,PL,1679264578
84,lewiston,44.1003,-70.2148,-0.3199999999999932,49,100,5.66,US,1679264538
85,arua,3.0201,30.9111,18.5,84,89,3.52,UG,1679264579
86,cockburn town,21.4612,-71.1419,24.980000000000018,65,40,5.66,TC,1679264580
87,cayenne,4.9333,-52.3333,27.02000000000004,74,52,4.12,GF,1679264287
88,kodiak,57.79,-152.4072,1.7300000000000182,69,20,4.63,US,1679264581
89,ola,59.5833,151.2833,-9.289999999999964,92,100,4.4,RU,1679264582
90,grand gaube,-20.0064,57.6608,25.210000000000036,83,67,3.4,MU,1679264583
91,juegang,32.3174,121.1855,9.390000000000043,83,86,3.51,CN,1679264584
92,pitimbu,-7.4706,-34.8086,26.33000000000004,78,100,3.98,BR,1679264587
93,ust-nera,64.5667,143.2,-18.70999999999998,98,100,1.5,RU,1679264588
94,zharkent,44.1628,80.0,0.4500000000000455,51,58,2.13,KZ,1679264589
95,portland,45.5234,-122.6762,14.180000000000007,68,100,0.89,US,1679263874
96,faya,18.3851,42.4509,13.060000000000002,38,36,1.54,SA,1679264591
97,mayo,38.8876,-76.5119,5.970000000000027,32,0,5.14,US,1679264459
98,surin,14.8818,103.4936,27.180000000000007,99,92,2.94,TH,1679264592
99,spilimbergo,46.1125,12.8969,10.330000000000041,78,75,2.06,IT,1679264593
100,vitoria do mearim,-3.4622,-44.8706,23.620000000000005,94,17,0.44,BR,1679264595
101,norman wells,65.282,-126.8329,-1.9799999999999613,59,75,6.17,CA,1679264596
102,san jose,37.3394,-121.895,15.900000000000034,82,75,6.17,US,1679264441
103,turki,51.987,43.2731,3.3000000000000114,88,9,3.05,RU,1679264598
104,nanakuli,21.3906,-158.1547,28.58000000000004,65,20,3.6,US,1679264599
